,date,ticker,pe_exi,de_ratio,close_price,exp_ret,vol,mom,Mkt-RF,SMB,HML,RMW,CMA,RF,ret_excess
15,2004-06-30,AAP,12.861717612809315,2.2784255788923047,24.972440719604492,0.03227606547375845,0.054834428931675804,0.44149231777129927,1.86,2.56,1.18,1.2,-0.39,0.0008,0.03147606547375845
16,2004-07-31,AAP,10.806404657933042,2.2784255788923047,20.98182487487793,0.03283311532457786,0.05477522456619058,0.4509034436589836,-4.06,-2.96,3.24,5.32,-1.66,0.001,0.03183311532457786
17,2004-08-31,AAP,10.294444444444444,2.0567890508301487,20.94790267944336,0.00989675666212648,0.07196926496760025,0.09288964769383834,0.08,-1.14,0.97,1.23,-1.47,0.0011,0.00879675666212648
18,2004-09-30,AAP,9.555555555555555,2.0567890508301487,19.444360733032227,0.001518262025142945,0.06629097982743412,-0.007100088868637999,1.6,3.27,0.0,-1.49,-1.88,0.0011,0.000418262025142945
19,2004-10-31,AAP,10.866666666666667,2.0567890508301487,22.112302780151367,-0.00027682980399703255,0.06808710652013218,-0.029619491136930964,1.43,0.19,-0.22,-0.52,0.49,0.0011,-0.0013768298039970326
20,2004-11-30,AAP,11.04685408299866,1.9264541205020869,23.321935653686523,0.0025535807261596135,0.07328899130899741,0.0002550417553222051,4.54,4.11,1.41,-0.58,-0.22,0.0015,0.0010535807261596135
21,2004-12-31,AAP,11.694779116465863,1.9264541205020869,24.68982696533203,0.0034900229487516143,0.07392828254670514,0.01102699261206963,3.43,-0.05,-0.22,-1.16,0.46,0.0016,0.0018900229487516143
22,2005-01-31,AAP,11.539491298527443,1.9264541205020869,24.361976623535156,0.008602371827472718,0.07556472896145176,0.07321931220701594,-2.76,-1.17,2.06,2.74,-1.46,0.0016,0.007002371827472718
23,2005-02-28,AAP,20.23293172690763,2.0484788492555186,28.47693634033203,0.011140326198791165,0.0741452395849592,0.10739953724443607,1.89,-0.31,1.54,1.43,-0.05,0.0016,0.009540326198791164
24,2005-03-31,AAP,20.261044176706825,2.0484788492555186,28.51650619506836,0.024081275949785746,0.08704644251042931,0.27705878795659955,-1.97,-1.42,2.04,0.46,1.29,0.0021,0.021981275949785745
25,2005-04-30,AAP,21.42570281124498,2.0484788492555186,30.155729293823242,0.021619992648118924,0.0872526628022224,0.24047179682392805,-2.61,-3.98,0.07,0.97,-0.94,0.0021,0.019519992648118923
26,2005-05-31,AAP,14.368484848484849,1.956041095507376,33.50197219848633,0.021328713419514627,0.08711505114579042,0.23638511328632394,3.65,2.78,-0.64,-1.0,0.3,0.0024,0.018928713419514628
27,2005-06-30,AAP,15.648484848484848,1.956041095507376,36.4864387512207,0.031116580036200502,0.09024745707610839,0.38255246238114093,0.57,3.28,2.83,0.96,-0.51,0.0023,0.028816580036200502
28,2005-07-31,AAP,16.717575757575755,1.956041095507376,38.979148864746094,0.03599372908643123,0.09178286072915155,0.46106818956535567,3.92,2.81,-0.79,-1.18,-0.82,0.0024,0.03359372908643123
