,date,ticker,pe_exi,de_ratio,close_price,exp_ret,vol,mom,Mkt-RF,SMB,HML,RMW,CMA,RF,ret_excess
0,2016-02-29,AAP,23.193749999999998,2.3058629271639015,131.9592742919922,-0.0006838990681813095,0.07760241294351897,-0.04225831785821477,-0.07,0.88,-0.57,3.25,2.02,0.0002,-0.0008838990681813095
1,2016-03-31,AAP,25.053124999999998,2.3058629271639015,142.59194946289062,-0.0005292623308114456,0.0775500861231354,-0.04043440564425094,6.96,1.07,1.19,0.77,-0.08,0.0002,-0.0007292623308114456
2,2016-04-30,AAP,24.390624999999996,2.3058629271639015,138.82127380371094,0.008971626463225227,0.08009434190518452,0.07275067634482335,0.91,1.23,3.28,-2.97,1.9,0.0001,0.008871626463225228
3,2016-05-31,AAP,23.522935779816514,2.362230994469767,136.81143188476562,0.010492310182419659,0.0791505219398489,0.09324226056402041,1.78,-0.61,-1.66,-1.09,-2.49,0.0001,0.01039231018241966
4,2016-06-30,AAP,24.714067278287462,2.362230994469767,143.79574584960938,0.003330141108240564,0.07699041205263091,0.005549655193296976,-0.05,0.45,-1.48,1.41,1.94,0.0002,0.003130141108240564
5,2016-07-31,AAP,25.972477064220186,2.362230994469767,151.11758422851562,0.004250324806218814,0.07753271881249643,0.01622599607972508,3.95,2.48,-1.32,1.25,-1.18,0.0002,0.004050324806218814
6,2016-08-31,AAP,25.4248788368336,2.2377458114509117,140.01461791992188,0.0006880421450518684,0.07395026524939546,-0.0234945604984933,0.49,1.69,3.18,-1.85,-0.34,0.0002,0.00048804214505186847
7,2016-09-30,AAP,24.090468497576737,2.2377458114509117,132.72064208984375,-0.005932136251900634,0.07693031508578696,-0.10060988190405318,0.25,1.86,-1.24,-2.21,0.02,0.0002,-0.006132136251900634
8,2016-10-31,AAP,22.630048465266558,2.2377458114509117,124.67478942871094,-0.017094210045301705,0.07263299223195203,-0.21196418333643785,-2.02,-4.03,4.09,0.93,0.27,0.0002,-0.017294210045301704
9,2016-11-30,AAP,27.822950819672133,2.125531714948143,151.05517578125,-0.026059309375827056,0.07061967381532244,-0.29293951731646295,4.86,7.07,8.21,-0.18,3.69,0.0001,-0.026159309375827056
10,2016-12-31,AAP,27.72459016393443,2.125531714948143,150.57264709472656,0.006566202480354981,0.08251364297242962,0.04460804848889022,1.82,0.41,3.53,1.22,-0.24,0.0003,0.006266202480354981
11,2017-01-31,AAP,26.92459016393443,2.125531714948143,146.22781372070312,0.012526879135087154,0.07859827253052963,0.12536095801887615,1.94,-1.45,-2.75,-0.5,-0.99,0.0004,0.012126879135087155
12,2017-02-28,AAP,25.25967741935484,1.8513324911391296,139.43458557128906,0.009269616307594033,0.0795067069103786,0.0818193086379726,3.57,-2.22,-1.67,0.47,-1.83,0.0004,0.008869616307594034
13,2017-03-31,AAP,23.91290322580645,1.8513324911391296,132.05274963378906,0.007376733536111041,0.08062659321848012,0.056648623747020066,0.17,0.74,-3.35,0.61,-0.95,0.0003,0.007076733536111041
14,2017-04-30,AAP,22.9258064516129,1.8513324911391296,126.60171508789062,-0.003749653225168653,0.07879880627203717,-0.07391160488933757,1.09,0.48,-2.13,1.9,-1.6,0.0005,-0.004249653225168654
15,2017-05-31,AAP,24.252268602540834,1.9101223657876467,119.02204895019531,-0.004985936693731254,0.07930199645941077,-0.08802367519763865,1.06,-3.06,-3.78,0.95,-1.79,0.0006,-0.0055859366937312535
16,2017-06-30,AAP,21.159709618874775,1.9101223657876467,103.89521789550781,-0.008768624976582373,0.08086315586902494,-0.1300284829235181,0.78,2.58,1.48,-2.22,0.0,0.0006,-0.009368624976582373
17,2017-07-31,AAP,20.328493647912886,1.9101223657876467,99.81393432617188,-0.02361390326565906,0.08512290426110698,-0.27748058691410826,1.87,-1.69,-0.31,-0.67,-0.2,0.0007000000000000001,-0.02431390326565906
18,2017-08-31,AAP,19.580000000000002,1.8175216676807395,87.24026489257812,-0.031130654379104866,0.08186320991575173,-0.3394949050056535,0.16,-1.83,-2.1,0.15,-2.38,0.0009,-0.032030654379104864
19,2017-09-30,AAP,19.84,1.8175216676807395,88.4547348022461,-0.03550554756794345,0.08564708068291503,-0.3769203088318023,2.51,4.77,3.12,-1.5,1.71,0.0009,-0.036405547567943446
