grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
J,0.01,0.1,0.01,0.005,val,100.0,100.0,0.00853844750401529,0.028514561187363237,0.2994416588637465,0.008838089477201784,0.028135322372881952,0.314127890903649
K,0.01,0.1,0.1,0.005,test,100.0,100.0,0.013588095576705232,0.0250428769920044,0.5425932324189827,0.010675203546490578,0.024667623694404534,0.43276173166527265
K,0.01,0.1,0.1,0.005,train,100.0,100.0,0.014019740128990106,0.026128830509069237,0.5365620984677189,0.011546075499815324,0.025861193935489246,0.4464633585042728
K,0.01,0.1,0.1,0.005,val,100.0,100.0,0.008258034697519494,0.028601511994111647,0.28872720781093303,0.008838089477201784,0.028135322372881952,0.314127890903649
L,0.01,0.1,1.0,0.005,test,100.0,100.0,0.013709957736581407,0.025079781910257712,0.5466537861091741,0.010675203546490578,0.024667623694404534,0.43276173166527265
L,0.01,0.1,1.0,0.005,train,100.0,100.0,0.014070206093803212,0.026215476733934286,0.536713722053107,0.011546075499815324,0.025861193935489246,0.4464633585042728
L,0.01,0.1,1.0,0.005,val,100.0,100.0,0.008255946410390047,0.02859771206546777,0.28869254964177893,0.008838089477201784,0.028135322372881952,0.314127890903649
M,0.1,0.01,0.0,0.005,test,100.0,100.0,0.016352150758294524,0.0258521453010572,0.6325258723110029,0.010675203546490578,0.024667623694404534,0.43276173166527265
M,0.1,0.01,0.0,0.005,train,100.0,100.0,0.015336011547218103,0.025959287709190263,0.5907716620898649,0.011546075499815324,0.025861193935489246,0.4464633585042728
M,0.1,0.01,0.0,0.005,val,100.0,100.0,0.013060511855309558,0.03160624265523637,0.41322570345869725,0.008838089477201784,0.028135322372881952,0.314127890903649
N,0.1,0.01,0.01,0.005,test,100.0,100.0,0.01808513202400342,0.030531591191508733,0.5923416146237676,0.010675203546490578,0.024667623694404534,0.43276173166527265
N,0.1,0.01,0.01,0.005,train,100.0,100.0,0.015684814821551093,0.027334350631375466,0.5738133322608959,0.011546075499815324,0.025861193935489246,0.4464633585042728
N,0.1,0.01,0.01,0.005,val,100.0,100.0,0.011047262150288709,0.02881596939751287,0.3833729137309132,0.008838089477201784,0.028135322372881952,0.314127890903649
O,0.1,0.01,0.1,0.005,test,100.0,100.0,0.017636563229700065,0.030610185304885962,0.5761664966565483,0.010675203546490578,0.024667623694404534,0.43276173166527265
O,0.1,0.01,0.1,0.005,train,100.0,100.0,0.016446177122288748,0.027764622853834763,0.5923428965081337,0.011546075499815324,0.025861193935489246,0.4464633585042728
O,0.1,0.01,0.1,0.005,val,100.0,100.0,0.012925256456971243,0.03128091876775155,0.41319938690173913,0.008838089477201784,0.028135322372881952,0.314127890903649
P,0.1,0.01,1.0,0.005,test,100.0,100.0,0.017689423057651168,0.030541811573397463,0.579187092899225,0.010675203546490578,0.024667623694404534,0.43276173166527265
P,0.1,0.01,1.0,0.005,train,100.0,100.0,0.016361382829692947,0.027796720320137344,0.5886083912299297,0.011546075499815324,0.025861193935489246,0.4464633585042728
P,0.1,0.01,1.0,0.005,val,100.0,100.0,0.012867975472193349,0.03161702164113715,0.40699518183090755,0.008838089477201784,0.028135322372881952,0.314127890903649
Q,0.1,0.05,0.0,0.005,test,100.0,100.0,0.012874072282282135,0.025525037973746077,0.5043703478529382,0.010675203546490578,0.024667623694404534,0.43276173166527265
Q,0.1,0.05,0.0,0.005,train,100.0,100.0,0.012240360077591021,0.025678655943554243,0.4766744842105677,0.011546075499815324,0.025861193935489246,0.4464633585042728
Q,0.1,0.05,0.0,0.005,val,100.0,100.0,0.009725726853727567,0.028515519720493935,0.34106784476372976,0.008838089477201784,0.028135322372881952,0.314127890903649
R,0.1,0.05,0.01,0.005,test,100.0,100.0,0.017526055947131178,0.027466044323009108,0.6380990192974746,0.010675203546490578,0.024667623694404534,0.43276173166527265
R,0.1,0.05,0.01,0.005,train,100.0,100.0,0.014745134831299094,0.025884913651348224,0.5696420327815714,0.011546075499815324,0.025861193935489246,0.4464633585042728
R,0.1,0.05,0.01,0.005,val,100.0,100.0,0.010103639394585548,0.028603755252436733,0.3532277249985069,0.008838089477201784,0.028135322372881952,0.314127890903649
S,0.1,0.05,0.1,0.005,test,100.0,100.0,0.015976438730835776,0.026081080498156602,0.6125681308085535,0.010675203546490578,0.024667623694404534,0.43276173166527265
S,0.1,0.05,0.1,0.005,train,100.0,100.0,0.01574283060677154,0.026722595842840823,0.5891205591989686,0.011546075499815324,0.025861193935489246,0.4464633585042728
S,0.1,0.05,0.1,0.005,val,100.0,100.0,0.011260948488028158,0.029941947703967776,0.3760927177813424,0.008838089477201784,0.028135322372881952,0.314127890903649
T,0.1,0.05,1.0,0.005,test,100.0,100.0,0.015979833489004346,0.026082075302284048,0.6126749234173208,0.010675203546490578,0.024667623694404534,0.43276173166527265
T,0.1,0.05,1.0,0.005,train,100.0,100.0,0.015737548369589037,0.026773592305714453,0.5878011508243619,0.011546075499815324,0.025861193935489246,0.4464633585042728
T,0.1,0.05,1.0,0.005,val,100.0,100.0,0.010554061685990719,0.029196258961606863,0.36148678156019387,0.008838089477201784,0.028135322372881952,0.314127890903649
U,0.1,0.1,0.0,0.005,test,100.0,100.0,0.012017185082794311,0.024821833070139344,0.4841376963721041,0.010675203546490578,0.024667623694404534,0.43276173166527265
U,0.1,0.1,0.0,0.005,train,100.0,100.0,0.012041801218376705,0.02575684110755299,0.46751855818134563,0.011546075499815324,0.025861193935489246,0.4464633585042728
U,0.1,0.1,0.0,0.005,val,100.0,100.0,0.00854175586755379,0.02841115474601602,0.3006479653366049,0.008838089477201784,0.028135322372881952,0.314127890903649
V,0.1,0.1,0.01,0.005,test,100.0,100.0,0.013555476688366258,0.025034023714354224,0.5414821381691118,0.010675203546490578,0.024667623694404534,0.43276173166527265
V,0.1,0.1,0.01,0.005,train,100.0,100.0,0.01332993435011427,0.02563375311014975,0.5200149307951412,0.011546075499815324,0.025861193935489246,0.4464633585042728
V,0.1,0.1,0.01,0.005,val,100.0,100.0,0.009005949884767722,0.028600325627682745,0.3148897673995648,0.008838089477201784,0.028135322372881952,0.314127890903649
W,0.1,0.1,0.1,0.005,test,100.0,100.0,0.013636144999827704,0.025124671881385587,0.5427392271493797,0.010675203546490578,0.024667623694404534,0.43276173166527265
W,0.1,0.1,0.1,0.005,train,100.0,100.0,0.014394667417441833,0.02613233345053574,0.5508374307306985,0.011546075499815324,0.025861193935489246,0.4464633585042728
W,0.1,0.1,0.1,0.005,val,100.0,100.0,0.008927467852671471,0.02844453424275893,0.3138553008520526,0.008838089477201784,0.028135322372881952,0.314127890903649
X,0.1,0.1,1.0,0.005,test,100.0,100.0,0.01371133580235525,0.02492956655427084,0.5500029762633908,0.010675203546490578,0.024667623694404534,0.43276173166527265
X,0.1,0.1,1.0,0.005,train,100.0,100.0,0.014382058761542658,0.026182924431194396,0.5492915353587681,0.011546075499815324,0.025861193935489246,0.4464633585042728
X,0.1,0.1,1.0,0.005,val,100.0,100.0,0.008898324845136793,0.02847151569053167,0.3125342866022211,0.008838089477201784,0.028135322372881952,0.314127890903649
Y,1.0,0.01,0.0,0.005,test,100.0,100.0,0.01842247888359436,0.03066204760657199,0.6008235040064621,0.010675203546490578,0.024667623694404534,0.43276173166527265
Y,1.0,0.01,0.0,0.005,train,100.0,100.0,0.016522215925249304,0.028385886941734356,0.5820574131990731,0.011546075499815324,0.025861193935489246,0.4464633585042728
Y,1.0,0.01,0.0,0.005,val,100.0,100.0,0.0161062175851985,0.032058298471986775,0.5024040062129328,0.008838089477201784,0.028135322372881952,0.314127890903649
Z,1.0,0.01,0.01,0.005,test,100.0,100.0,0.017933826645006513,0.03071210572101594,0.5839334758525095,0.010675203546490578,0.024667623694404534,0.43276173166527265
Z,1.0,0.01,0.01,0.005,train,100.0,100.0,0.016576511221788645,0.028028856390628177,0.5914087606777926,0.011546075499815324,0.025861193935489246,0.4464633585042728
Z,1.0,0.01,0.01,0.005,val,100.0,100.0,0.015401770367570497,0.032125713736018836,0.4794218890714592,0.008838089477201784,0.028135322372881952,0.314127890903649
A,0.01,0.01,0.0,0.006500000000000001,test,100.0,100.0,0.012538145968740285,0.024993497062495845,0.5016563283196102,0.012096578624363731,0.025023236758615015,0.483413826139646
A,0.01,0.01,0.0,0.006500000000000001,train,100.0,100.0,0.013284067970800147,0.025902779290579468,0.5128433447726036,0.012666446306193669,0.025942239728854885,0.48825569565671895
A,0.01,0.01,0.0,0.006500000000000001,val,100.0,100.0,0.011512880055899372,0.02912320325972349,0.3953164064004601,0.00978585099819604,0.02835532032769281,0.3451151630367482
AA,1.0,0.01,0.1,0.006500000000000001,test,100.0,100.0,0.019205760268008572,0.030996641107106055,0.6196077891480312,0.012096578624363731,0.025023236758615015,0.483413826139646
AA,1.0,0.01,0.1,0.006500000000000001,train,100.0,100.0,0.017357059272116292,0.028064200728014233,0.6184768787721668,0.012666446306193669,0.025942239728854885,0.48825569565671895
AA,1.0,0.01,0.1,0.006500000000000001,val,100.0,100.0,0.016230071014677095,0.03185270953355999,0.5095350207826926,0.00978585099819604,0.02835532032769281,0.3451151630367482
AB,1.0,0.01,1.0,0.006500000000000001,test,100.0,100.0,0.019207838504563698,0.030998398304237892,0.6196397089754826,0.012096578624363731,0.025023236758615015,0.483413826139646
AB,1.0,0.01,1.0,0.006500000000000001,train,100.0,100.0,0.017388670324397483,0.028012515963441346,0.6207464672744994,0.012666446306193669,0.025942239728854885,0.48825569565671895
AB,1.0,0.01,1.0,0.006500000000000001,val,100.0,100.0,0.01612510336673463,0.031860250248341555,0.5061197963147789,0.00978585099819604,0.02835532032769281,0.3451151630367482
AC,1.0,0.05,0.0,0.006500000000000001,test,100.0,100.0,0.01722434860579467,0.026519706734310172,0.6494924237929441,0.012096578624363731,0.025023236758615015,0.483413826139646
AC,1.0,0.05,0.0,0.006500000000000001,train,100.0,100.0,0.016533832886609274,0.02660517116639199,0.6214518516939136,0.012666446306193669,0.025942239728854885,0.48825569565671895
AC,1.0,0.05,0.0,0.006500000000000001,val,100.0,100.0,0.012504172250908564,0.0318272413142111,0.39287640820231823,0.00978585099819604,0.02835532032769281,0.3451151630367482
AD,1.0,0.05,0.01,0.006500000000000001,test,100.0,100.0,0.01809476612372436,0.027083602213722576,0.6681078085649955,0.012096578624363731,0.025023236758615015,0.483413826139646
AD,1.0,0.05,0.01,0.006500000000000001,train,100.0,100.0,0.016615210522211227,0.02647953994101315,0.6274735346080953,0.012666446306193669,0.025942239728854885,0.48825569565671895
AD,1.0,0.05,0.01,0.006500000000000001,val,100.0,100.0,0.012675314883795747,0.031219500458742267,0.4060063324889084,0.00978585099819604,0.02835532032769281,0.3451151630367482
AE,1.0,0.05,0.1,0.006500000000000001,test,100.0,100.0,0.017679813763568804,0.026761970330593004,0.6606319917594953,0.012096578624363731,0.025023236758615015,0.483413826139646
AE,1.0,0.05,0.1,0.006500000000000001,train,100.0,100.0,0.016666993631236957,0.026558233827417125,0.6275640819685604,0.012666446306193669,0.025942239728854885,0.48825569565671895
AE,1.0,0.05,0.1,0.006500000000000001,val,100.0,100.0,0.012697984387952159,0.03134550894087755,0.40509740682460804,0.00978585099819604,0.02835532032769281,0.3451151630367482
AF,1.0,0.05,1.0,0.006500000000000001,test,100.0,100.0,0.018096044086657728,0.027083595858463073,0.6681551512051133,0.012096578624363731,0.025023236758615015,0.483413826139646
AF,1.0,0.05,1.0,0.006500000000000001,train,100.0,100.0,0.016662064915245228,0.026518970584014052,0.6283073794976419,0.012666446306193669,0.025942239728854885,0.48825569565671895
AF,1.0,0.05,1.0,0.006500000000000001,val,100.0,100.0,0.012818333444651152,0.031050172774393824,0.41282647724296184,0.00978585099819604,0.02835532032769281,0.3451151630367482
AG,1.0,0.1,0.0,0.006500000000000001,test,100.0,100.0,0.014941098995449048,0.025436545488979192,0.5873871120327696,0.012096578624363731,0.025023236758615015,0.483413826139646
AG,1.0,0.1,0.0,0.006500000000000001,train,100.0,100.0,0.014801758351659774,0.026065024208301094,0.5678781739392318,0.012666446306193669,0.025942239728854885,0.48825569565671895
AG,1.0,0.1,0.0,0.006500000000000001,val,100.0,100.0,0.009639202593380808,0.028658137973833684,0.33635132198210266,0.00978585099819604,0.02835532032769281,0.3451151630367482
AH,1.0,0.1,0.01,0.006500000000000001,test,100.0,100.0,0.01552488319166308,0.025702661492611207,0.6040185058470318,0.012096578624363731,0.025023236758615015,0.483413826139646
AH,1.0,0.1,0.01,0.006500000000000001,train,100.0,100.0,0.01529817123883335,0.026059231637268216,0.5870538107642379,0.012666446306193669,0.025942239728854885,0.48825569565671895
AH,1.0,0.1,0.01,0.006500000000000001,val,100.0,100.0,0.009801900249979381,0.029183886511030432,0.3358668574159497,0.00978585099819604,0.02835532032769281,0.3451151630367482
AI,1.0,0.1,0.1,0.006500000000000001,test,100.0,100.0,0.015532865514284566,0.025708177354539893,0.6041994070395413,0.012096578624363731,0.025023236758615015,0.483413826139646
