gvkey,permno,adate,qdate,public_date,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,cfm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_at,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,TICKER,cusip
012141,10107,2015-06-30,2015-09-30,2015-11-30,21.763,0.225,11.779,20.665,20.744,35.523,35.523,4.784,14.807,0.800,0.138,0.363,0.297,0.714,0.200,0.201,0.189,0.138,0.229,0.341,0.143,0.118,0.143,0.313,0.204,0.370,0.770,0.230,0.304,0.230,0.034,0.026,1.057,0.023,0.120,0.191,1.016,0.243,0.519,0.281,0.704,0.626,0.302,0.795,6.252,0.290,0.515,0.321,1.064,15.448,31.048,2.036,2.507,2.567,3.481,9.246,0.518,6.263,3.972,0.823,1.069,1.236,0.132,0.020,0.000,-0.096,5.453,78.960,2.65%,MSFT,59491810
012141,10107,2015-06-30,2015-09-30,2015-12-31,22.041,0.225,11.779,21.095,21.176,36.261,36.261,4.845,14.996,0.800,0.138,0.363,0.297,0.714,0.200,0.201,0.189,0.138,0.229,0.341,0.143,0.118,0.143,0.313,0.204,0.370,0.770,0.230,0.304,0.230,0.034,0.026,1.057,0.023,0.120,0.191,1.016,0.243,0.519,0.281,0.704,0.626,0.302,0.795,6.252,0.290,0.515,0.321,1.064,15.448,31.048,2.036,2.507,2.567,3.481,9.246,0.518,6.263,3.972,0.823,1.069,1.236,0.132,0.020,0.000,-0.096,5.523,52.308,2.60%,MSFT,59491810
012141,10107,2015-06-30,2015-09-30,2016-01-31,21.842,0.225,11.779,20.947,21.027,36.007,36.007,4.801,14.861,0.800,0.138,0.363,0.297,0.714,0.200,0.201,0.189,0.138,0.229,0.341,0.143,0.118,0.143,0.313,0.204,0.370,0.770,0.230,0.304,0.230,0.034,0.026,1.057,0.023,0.120,0.191,1.016,0.243,0.519,0.281,0.704,0.626,0.302,0.795,6.252,0.290,0.515,0.321,1.064,15.448,31.048,2.036,2.507,2.567,3.481,9.246,0.518,6.263,3.972,0.823,1.069,1.236,0.132,0.020,0.000,-0.096,5.473,48.357,2.61%,MSFT,59491810
012141,10107,2015-06-30,2015-12-31,2016-02-29,20.631,0.180,13.125,20.516,20.599,35.333,35.333,4.569,13.161,0.886,0.133,0.352,0.284,0.708,0.183,0.198,0.177,0.134,0.211,0.341,0.138,0.113,0.138,0.284,0.185,0.354,0.724,0.276,0.335,0.276,0.033,0.027,1.033,0.024,0.114,0.213,1.211,0.175,0.479,0.325,0.679,0.670,0.302,0.786,6.364,0.370,0.540,0.353,1.176,12.526,24.594,2.157,2.632,2.697,5.189,8.645,0.499,6.260,3.925,0.786,1.086,1.137,0.136,0.020,0.000,-0.107,5.096,,2.83%,MSFT,59491810
012141,10107,2015-06-30,2015-12-31,2016-03-31,22.284,0.180,13.125,22.270,22.360,38.354,38.354,4.935,14.215,0.886,0.133,0.352,0.284,0.708,0.183,0.198,0.177,0.134,0.211,0.341,0.138,0.113,0.138,0.284,0.185,0.354,0.724,0.276,0.335,0.276,0.033,0.027,1.033,0.024,0.114,0.213,1.211,0.175,0.479,0.325,0.679,0.670,0.302,0.786,6.364,0.370,0.540,0.353,1.176,12.526,24.594,2.157,2.632,2.697,5.189,8.645,0.499,6.260,3.925,0.786,1.086,1.137,0.136,0.020,0.000,-0.107,5.504,,2.61%,MSFT,59491810
012141,10107,2015-06-30,2015-12-31,2016-04-30,20.097,0.180,13.125,20.109,20.190,34.632,34.632,4.450,12.820,0.886,0.133,0.352,0.284,0.708,0.183,0.198,0.177,0.134,0.211,0.341,0.138,0.113,0.138,0.284,0.185,0.354,0.724,0.276,0.335,0.276,0.033,0.027,1.033,0.024,0.114,0.213,1.211,0.175,0.479,0.325,0.679,0.670,0.302,0.786,6.364,0.370,0.540,0.353,1.176,12.526,24.594,2.157,2.632,2.697,5.189,8.645,0.499,6.260,3.925,0.786,1.086,1.137,0.136,0.020,0.000,-0.107,4.964,,2.89%,MSFT,59491810
012141,10107,2015-06-30,2016-03-31,2016-05-31,21.996,0.178,14.708,22.650,22.845,40.769,40.769,4.795,13.152,1.019,0.121,0.342,0.270,0.700,0.169,0.192,0.168,0.125,0.198,0.341,0.129,0.101,0.129,0.254,0.170,0.342,0.693,0.307,0.369,0.307,0.033,0.028,1.005,0.024,0.112,0.232,1.387,0.167,0.463,0.341,0.638,0.680,0.302,0.764,6.442,0.430,0.565,0.383,1.300,10.154,20.513,2.169,2.635,2.698,6.248,8.783,0.489,6.194,3.871,0.779,1.124,1.099,0.137,0.020,0.000,-0.119,5.377,,2.72%,MSFT,59491810
012141,10107,2015-06-30,2016-03-31,2016-06-30,21.095,0.178,14.708,21.868,22.056,39.362,39.362,4.598,12.613,1.019,0.121,0.342,0.270,0.700,0.169,0.192,0.168,0.125,0.198,0.341,0.129,0.101,0.129,0.254,0.170,0.342,0.693,0.307,0.369,0.307,0.033,0.028,1.005,0.024,0.112,0.232,1.387,0.167,0.463,0.341,0.638,0.680,0.302,0.764,6.442,0.430,0.565,0.383,1.300,10.154,20.513,2.169,2.635,2.698,6.248,8.783,0.489,6.194,3.871,0.779,1.124,1.099,0.137,0.020,0.000,-0.119,5.157,,2.81%,MSFT,59491810
012141,10107,2015-06-30,2016-03-31,2016-07-31,23.320,0.178,14.708,24.222,24.431,43.600,43.600,5.083,13.943,1.019,0.121,0.342,0.270,0.700,0.169,0.192,0.168,0.125,0.198,0.341,0.129,0.101,0.129,0.254,0.170,0.342,0.693,0.307,0.369,0.307,0.033,0.028,1.005,0.024,0.112,0.232,1.387,0.167,0.463,0.341,0.638,0.680,0.302,0.764,6.442,0.430,0.565,0.383,1.300,10.154,20.513,2.169,2.635,2.698,6.248,8.783,0.489,6.194,3.871,0.779,1.124,1.099,0.137,0.020,0.000,-0.119,5.701,,2.54%,MSFT,59491810
012141,10107,2016-06-30,2016-06-30,2016-08-31,24.901,0.184,16.710,25.767,26.000,27.362,27.362,5.248,13.436,0.674,0.197,0.318,0.250,0.685,0.231,0.274,0.147,0.215,0.176,0.150,0.221,0.163,0.221,0.226,0.143,0.302,0.634,0.366,0.480,0.366,0.038,0.029,0.931,0.016,0.131,0.281,2.005,0.237,0.488,0.341,0.458,0.561,0.274,0.750,6.630,0.565,0.628,0.460,1.690,13.912,16.366,1.908,2.315,2.353,20.849,10.441,0.461,4.716,3.892,0.751,1.185,1.062,0.141,0.019,0.000,-0.089,6.094,70.781,2.51%,MSFT,59491810
