PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,NUMTRD,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,2019-01-16,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,104.96000,106.25500,105.38000,29843819,0.003523,105.37000,105.38000,7683000,1,1,105.26000,197491,0.003523,0.003177,0.003157,0.004831,0.004808,0.002222
10107,2019-01-17,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,104.76000,106.62500,106.12000,28385667,0.007022,106.14000,106.16000,7683000,1,1,105.00000,184249,0.007022,0.007082,0.007014,0.005101,0.005049,0.007591
10107,2019-01-18,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,105.91000,107.90000,107.71000,37412087,0.014983,107.70000,107.72000,7683000,1,1,107.46000,217682,0.014983,0.012032,0.012011,0.008534,0.008518,0.013183
10107,2019-01-22,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,104.86000,107.10000,105.68000,32363345,-0.018847,105.82000,105.83000,7683000,1,1,106.75000,200438,-0.018847,-0.014150,-0.014182,-0.013514,-0.013570,-0.014157
10107,2019-01-23,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,105.34000,107.04000,106.71000,25902190,0.009746,106.78000,106.79000,7683000,1,1,106.12000,180088,0.009746,0.001313,0.001270,-0.000571,-0.000626,0.002203
10107,2019-01-24,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,105.34000,107.00000,106.20000,23161238,-0.004779,106.18000,106.19000,7683000,1,1,106.86000,166438,-0.004779,0.002789,0.002762,0.005460,0.005439,0.001376
10107,2019-01-25,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,0,,,,,,,,,2019-03-28,,,,,1,6,66,1,106.59000,107.88000,107.17000,31212898,0.009134,107.16000,107.17000,7672213,1,1,107.24000,191812,0.009134,0.009553,0.009520,0.010818,0.010780,0.008489
10107,2019-01-28,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,104.66000,106.48000,105.08000,29462419,-0.019502,105.08000,105.09000,7672213,1,1,106.26000,214258,-0.019502,-0.006493,-0.006493,-0.003899,-0.003906,-0.007847
10107,2019-01-29,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,102.17000,104.97000,102.94000,31450347,-0.020365,102.93000,102.95000,7672213,1,1,104.88000,212464,-0.020365,-0.000918,-0.000929,0.000164,0.000143,-0.001456
10107,2019-01-30,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,104.33000,106.38000,106.38000,49469836,0.033417,106.32000,106.38000,7672213,1,1,104.62000,321209,0.033417,0.014357,0.014215,0.009789,0.009713,0.015549
10107,2019-01-31,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,103.18000,105.22000,104.43000,55638678,-0.018330,104.41000,104.48000,7672213,1,1,103.80000,327995,-0.018330,0.008467,0.008278,0.007008,0.006938,0.008597
10107,2019-02-01,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,102.35000,104.09990,102.78000,35525014,-0.015800,102.77000,102.82000,7672213,1,1,103.77500,215467,-0.015800,0.001418,0.001277,0.002960,0.002824,0.000899
10107,2019-02-04,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,102.77000,105.80000,105.74000,31306982,0.028799,105.78000,105.79000,7672213,1,1,102.87000,195420,0.028799,0.006692,0.006647,0.007317,0.007261,0.006776
10107,2019-02-05,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,105.96000,107.27000,107.22000,27311165,0.013997,107.22000,107.23000,7672213,1,1,106.06000,169540,0.013997,0.004392,0.004375,0.002633,0.002602,0.004708
10107,2019-02-06,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,105.53000,107.00000,106.03000,20583459,-0.011099,106.11000,106.12000,7672213,1,1,107.00000,146613,-0.011099,-0.002529,-0.002605,-0.001374,-0.001427,-0.002224
10107,2019-02-07,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,104.29000,105.59000,105.27000,29734656,-0.007168,105.31000,105.32000,7672213,1,1,105.18500,196921,-0.007168,-0.008815,-0.008945,-0.009004,-0.009092,-0.009357
10107,2019-02-08,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,104.26030,105.78000,105.67000,21450093,0.003800,105.75000,105.76000,7672213,1,1,104.39000,136995,0.003800,0.000651,0.000387,-0.001107,-0.001212,0.000676
10107,2019-02-11,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,104.96500,106.58000,105.25000,18909663,-0.003975,105.27000,105.28000,7672213,1,1,106.20000,133995,-0.003975,0.001262,0.001241,0.003731,0.003704,0.000709
10107,2019-02-12,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,105.48000,107.14000,106.89000,25033340,0.015582,106.88000,106.88000,7672213,1,1,106.14000,160306,0.015582,0.012367,0.012314,0.010086,0.010024,0.012890
10107,2019-02-13,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,106.71000,107.78000,106.81000,18392169,-0.000748,106.78000,106.79000,7672213,1,1,107.50000,126253,-0.000748,0.002782,0.002721,0.003827,0.003776,0.003024
10107,2019-02-14,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,105.66000,107.29000,106.90000,21786673,0.000843,106.87000,106.88000,7672213,1,1,106.31000,143100,0.000843,-0.001423,-0.001761,0.000674,0.000393,-0.002652
10107,2019-02-15,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,107.36240,108.30000,108.22000,26597090,0.012348,108.20000,108.21000,7672213,1,1,107.91000,157497,0.012348,0.010835,0.010763,0.009520,0.009451,0.010879
10107,2019-02-19,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,107.78000,108.66000,108.17000,18019764,-0.000462,108.23000,108.24000,7672213,1,1,107.79000,122457,-0.000462,0.002351,0.002292,0.005022,0.004951,0.001499
10107,2019-02-20,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,2018-11-28,,,,,2019-03-14,2019-02-21,0,,,1232,0.46000,0.00000,0.00000,,,,,,,,1,6,66,1,106.29000,107.94000,107.15000,21600619,-0.005177,107.19000,107.20000,7672213,1,1,107.86000,144251,-0.009430,0.002105,0.001968,0.001534,0.001444,0.001777
10107,2019-02-21,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,106.87000,109.48000,109.41000,29051931,0.021092,109.43000,109.45000,7672213,1,1,106.90000,200098,0.021092,-0.003534,-0.003604,-0.001722,-0.001781,-0.003526
10107,2019-02-22,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,109.82000,111.20000,110.97000,27755128,0.014258,110.96000,110.97000,7672213,1,1,110.05000,184492,0.014258,0.006367,0.006318,0.007815,0.007776,0.006411
10107,2019-02-25,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,111.26000,112.18000,111.59000,23747399,0.005587,111.59000,111.60000,7672213,1,1,111.76000,156824,0.005587,0.001355,0.001261,0.002548,0.002533,0.001232
10107,2019-02-26,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,111.17000,113.24000,112.36000,21530217,0.006900,112.36000,112.37000,7672213,1,1,111.26000,149082,0.006900,-0.001496,-0.001519,-0.002209,-0.002228,-0.000790
10107,2019-02-27,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,110.88000,112.36000,112.17000,21469722,-0.001691,112.18000,112.19000,7672213,1,1,111.69000,128118,-0.001691,0.000503,0.000365,0.000165,0.000076,-0.000544
10107,2019-02-28,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,111.73000,112.88000,112.03000,29070634,-0.001248,112.05000,112.06000,7672213,1,1,112.04000,138071,-0.001248,-0.002832,-0.003064,-0.003329,-0.003450,-0.002826
10107,2019-03-01,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,111.66500,113.02000,112.53000,23494469,0.004463,112.51000,112.52000,7672213,1,1,112.89000,134754,0.004463,0.006074,0.005965,0.005596,0.005466,0.006895
10107,2019-03-04,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,110.80000,113.25000,112.26000,26602759,-0.002399,112.28000,112.29000,7672213,1,1,113.02000,173601,-0.002399,-0.004235,-0.004264,-0.002059,-0.002097,-0.003881
10107,2019-03-05,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,111.23000,112.39000,111.70000,19537018,-0.004988,111.67000,111.68000,7672213,1,1,112.25000,119425,-0.004988,-0.001320,-0.001347,-0.001251,-0.001273,-0.001131
10107,2019-03-06,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,111.43000,112.66000,111.75000,17680096,0.000448,111.74000,111.75000,7672213,1,1,111.87000,130682,0.000448,-0.007768,-0.007803,-0.012423,-0.012443,-0.006524
10107,2019-03-07,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,109.86500,111.55000,110.39000,25431238,-0.012170,110.37000,110.39000,7672213,1,1,111.40000,167497,-0.012170,-0.007494,-0.007681,-0.005773,-0.005884,-0.008126
10107,2019-03-08,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,108.80000,110.71000,110.51000,22817031,0.001087,110.51000,110.52000,7672213,1,1,109.16000,160402,0.001087,-0.001900,-0.001999,-0.002342,-0.002463,-0.002132
10107,2019-03-11,,11,3,7370,59491810,MSFT,MICROSOFT CORP,,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,,,,,,,,,,,,,,,,,,,,,,,,,,110.98000,112.95000,112.83000,26480123,0.020994,112.82000,112.83000,7672213,1,1,110.99000,159314,0.020994,0.014348,0.014321,0.013281,0.013230,0.014666
