grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,nn_mean_ret,nn_vol,nn_sharpe,nn_r_series,svm_mean_ret,svm_vol,svm_sharpe,svm_r_series
U,0.1,0.1,0.0,0.016,test,0.023460674164916127,0.0270852008652969,0.8661805493238597,"[0.012885187819009906, 0.017922010906371678, 0.0061298808462519425, 0.04738970706601055, 0.01764562831497302, 0.020282320180899146, 0.04807478453897432, 0.01659343829937936, 0.020235451308479965, 0.07839468423879549, -0.027485677705068007]",0.022988249607359214,0.02717349161831352,0.845980705365826,"[0.013307655184163271, 0.017922006007175726, 0.006130233930571928, 0.047389707889148744, 0.017721305335585, 0.014715682912245209, 0.0479453289054966, 0.016594367763936867, 0.020235451421955365, 0.07839468436536498, -0.027485678034692346]"
U,0.1,0.1,0.0,0.016,train,0.02142924189541899,0.0262331390953844,0.8168767686049624,"[0.036466342380024476, 0.018835803411445418, 0.019276020280569534, -0.0034155376532157464, 0.06352284056402058, -0.01861345566445041, 0.04619391334112537, 0.031113267489716614, 0.030097979831016957, 0.015928982400093942, -0.012407192530242564, 0.04208049008322592, 0.026800380095930644, 0.03951394984414492, 0.016405910686932115, 0.003965091265059256, -0.016617851875584427, 0.0355023067790372, -0.00846393064818964, 0.012212057133110904, 0.04711103149081141, -0.00010541990945711267, 0.015838417747012192, 0.0308059337372515, 0.032994674095702545, 0.0441360965097875, 0.03700865343275564, 0.009614115975690868, 0.0424541937745418, -0.012149240521457225, 0.009903019382133926, 0.03175432584499476, 0.007026804548670708, 0.018570738031918242, 0.03407338800790393, 0.010392499387050837, 0.04070444623507654, 0.008995241142582239, 0.034674866998123284, 0.08755723570543841, 0.022029046648481345, 0.0019520022837470452, 0.031297837940418835, 0.003657015151649624, 0.035770162301544665, 0.027064856743167703, 0.006398235827868527, 0.04769693551546568, 0.010988152730320574, 0.014121700776874213, 0.03389363584880436, 0.013686050808646188, 0.03457966411174754, 0.012383034991072362, 0.01775843802077916, 0.02578579518213875, 0.01724706182975881, 0.013174563444287461, 0.04840087688723099, -0.009421265071370796, -0.001177908189738502, 0.018082795356573787, 0.04245950587156775, 0.020128223140875052, 0.043036759942278874, 0.042714761857115174, 0.01078723779170882, 0.011185527778904115, 0.03159879034516128, -0.07650539597541367, 0.03850268700940917, 0.07066300642955253, 0.02936107388730036, 0.037465484047475045, 0.01714978044573674, 0.04689884349829929, 0.02825376079608658, 0.06027262002074097, 0.003697003945537387, 0.013622029666009205, 0.015105756955160409, 0.041064636112830004, 0.014147902083157894, -0.02476220513839977, 0.05129064400986186, 0.022360594145493223, 0.018894682844930392, 0.008733769507567593, 0.006387213506430503, 0.041303900134293324, -0.0017349693769684212, 0.04440479412809976, 0.07059104730047855, 0.012603601830421541, -0.028361881074103628, -0.008455224524250543, 0.08462457174350035, 0.02067859226728921, 0.0070794933839223055, -0.0007386519744551205, 0.04386941484426695, 0.0370806155227507, -0.019338133101001527, 0.07465840622408222, 0.012710210657449322, 0.0357953429565766, -0.03627434830314137, 0.014836339269042924, 0.05503938719183694, 0.027975187579493153, -0.02555784999473813, -0.012501548049774736, 0.0070353705869008664, 0.002342440447929956, -0.022532009692876644, 0.07227434174768166, 0.08634916932622336, -0.0010425505276817906, -0.004277047463536225]",0.020992857027808738,0.02607898548913529,0.8049721503065967,"[0.03646632574179304, 0.017951438355944413, 0.01927601973470047, -0.003180207493522177, 0.06352288997388034, -0.01861337503227255, 0.04619391401391413, 0.031080812036404924, 0.03009797990080424, 0.015928982394612243, -0.011234021237606353, 0.04208048461775367, 0.023268308933711533, 0.03938078814611172, 0.01622755054337545, 0.003965043774436643, -0.016617849168677323, 0.03492873843494371, -0.008463929039071455, 0.012212056789858565, 0.04711103001615968, -0.00010543437648346076, 0.015838378721951808, 0.030805934893606893, 0.03299467470965736, 0.030211684090700394, 0.0370086522860788, 0.012325022584600213, 0.039850055930385125, -0.012149246060557669, 0.010324535468923014, 0.031754329275438635, 0.007026748727636504, 0.01857073809136256, 0.0340733879974853, 0.008733835060692956, 0.04070444623591409, 0.008804190269291386, 0.03467486834462344, 0.08347575680787872, 0.021665393009508146, 0.0019519968771577738, 0.031299793493522125, 0.004614272747290752, 0.035770202512341205, 0.027064856509626034, 0.006398266553010838, 0.047696981673357855, 0.010546519606881558, 0.014121700649888966, 0.033107114307703356, 0.013358147193998216, 0.034579681295991066, 0.0096081937746944, 0.017758429069998298, 0.0256503738117554, 0.0169541029296966, 0.012957856522089162, 0.04719068811862767, -0.00942126521749953, -0.0007331996362799262, 0.01523969796067341, 0.04245950457009923, 0.020128228946170935, 0.043036760921511305, 0.04271482619078194, 0.011544298766463007, 0.011185527826516354, 0.031598787729178415, -0.07650539637392675, 0.0385026870106886, 0.07066300644556069, 0.028653739719322096, 0.037458083928869956, 0.017149793254674122, 0.04689883064526473, 0.028253754323975692, 0.06027155788301588, -0.000683283156879382, 0.013622029697143162, 0.014292426745447095, 0.041045739946468984, 0.009673626890897622, -0.02476220513952796, 0.051290644161553205, 0.022360594220160575, 0.01889468282924078, 0.0008376160061085653, 0.006387221066540318, 0.04130390001387153, -0.0017349645700955453, 0.04020579841742647, 0.07059104670073858, 0.01260060012937011, -0.02799092707805533, -0.00848887832239978, 0.0846245776762172, 0.02067843754396648, 0.007079493379503364, -0.0007386528520397148, 0.04509941708710189, 0.037080623697281954, -0.01933813311770901, 0.07465840622147077, 0.012710210701194548, 0.0357953429301678, -0.03627434655495415, 0.014836334648704262, 0.05452257567054573, 0.02797516228475764, -0.025557849177364422, -0.012501547902654533, 0.007035370132698102, 0.0023476320791846416, -0.022532007287635387, 0.07227434213017549, 0.08634916930791213, -0.001042506904913233, -0.004277069991020502]"
U,0.1,0.1,0.0,0.016,val,0.016932316987598076,0.029264976708826666,0.5785863817862702,"[-0.0019483242086285686, 0.008681107465875325, 0.027626238238394014, -0.026295203438772452, 0.0636410755937134, 0.04078910985603129, -0.012315793770056038, -0.028687637860652326, 0.02876086624793995, 0.04483137192681812, 0.03659343878077936, 0.021511555019734854]",0.016943875955279297,0.02927352334116243,0.5788123198301574,"[-0.0019483034192013607, 0.008681293795259276, 0.028161908022390214, -0.02629520868387223, 0.06364107558588362, 0.0407891096060221, -0.01231579375332409, -0.028687626793688584, 0.028760866123193094, 0.044831302739559466, 0.0365040504935838, 0.02120383774754627]"
