PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,OPENPRC,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
10107,2019-02-06,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,105.53,107.0,106.03,20583459,-0.011099,106.11,106.12,7672213,1.0,1,107.0,-0.011099,-0.002529,-0.002605,-0.001374,-0.001427,-0.002224
10107,2019-02-07,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,104.29,105.59,105.27,29734656,-0.007168,105.31,105.32,7672213,1.0,1,105.185,-0.007168,-0.008815,-0.008945,-0.009004,-0.009092,-0.009357
10107,2019-02-08,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,104.2603,105.78,105.67,21450093,0.0038,105.75,105.76,7672213,1.0,1,104.39,0.0038,0.000651,0.000387,-0.001107,-0.001212,0.000676
10107,2019-02-11,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,104.965,106.58,105.25,18909663,-0.003975,105.27,105.28,7672213,1.0,1,106.2,-0.003975,0.001262,0.001241,0.003731,0.003704,0.000709
10107,2019-02-12,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,105.48,107.14,106.89,25033340,0.015582,106.88,106.88,7672213,1.0,1,106.14,0.015582,0.012367,0.012314,0.010086,0.010024,0.01289
10107,2019-02-13,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,106.71,107.78,106.81,18392169,-0.000748,106.78,106.79,7672213,1.0,1,107.5,-0.000748,0.002782,0.002721,0.003827,0.003776,0.003024
10107,2019-02-14,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,105.66,107.29,106.9,21786673,0.000843,106.87,106.88,7672213,1.0,1,106.31,0.000843,-0.001423,-0.001761,0.000674,0.000393,-0.002652
10107,2019-02-15,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,107.3624,108.3,108.22,26597090,0.012348,108.2,108.21,7672213,1.0,1,107.91,0.012348,0.010835,0.010763,0.00952,0.009451,0.010879
10107,2019-02-19,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,107.78,108.66,108.17,18019764,-0.000462,108.23,108.24,7672213,1.0,1,107.79,-0.000462,0.002351,0.002292,0.005022,0.004951,0.001499
10107,2019-02-20,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,106.29,107.94,107.15,21600619,-0.005177,107.19,107.2,7672213,1.0,1,107.86,-0.00943,0.002105,0.001968,0.001534,0.001444,0.001777
10107,2019-02-21,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,106.87,109.48,109.41,29051931,0.021092,109.43,109.45,7672213,1.0,1,106.9,0.021092,-0.003534,-0.003604,-0.001722,-0.001781,-0.003526
10107,2019-02-22,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,109.82,111.2,110.97,27755128,0.014258,110.96,110.97,7672213,1.0,1,110.05,0.014258,0.006367,0.006318,0.007815,0.007776,0.006411
10107,2019-02-25,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,111.26,112.18,111.59,23747399,0.005587,111.59,111.6,7672213,1.0,1,111.76,0.005587,0.001355,0.001261,0.002548,0.002533,0.001232
10107,2019-02-26,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,111.17,113.24,112.36,21530217,0.0069,112.36,112.37,7672213,1.0,1,111.26,0.0069,-0.001496,-0.001519,-0.002209,-0.002228,-0.00079
10107,2019-02-27,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,110.88,112.36,112.17,21469722,-0.001691,112.18,112.19,7672213,1.0,1,111.69,-0.001691,0.000503,0.000365,0.000165,7.6e-05,-0.000544
10107,2019-02-28,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,111.73,112.88,112.03,29070634,-0.001248,112.05,112.06,7672213,1.0,1,112.04,-0.001248,-0.002832,-0.003064,-0.003329,-0.00345,-0.002826
10107,2019-03-01,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,111.665,113.02,112.53,23494469,0.004463,112.51,112.52,7672213,1.0,1,112.89,0.004463,0.006074,0.005965,0.005596,0.005466,0.006895
10107,2019-03-04,11,3,7370,59491810,MSFT,MICROSOFT CORP,MSFT,511210,Q,A,R,8048,10539,3,7370,59491810,110.8,113.25,112.26,26602759,-0.002399,112.28,112.29,7672213,1.0,1,113.02,-0.002399,-0.004235,-0.004264,-0.002059,-0.002097,-0.003881
