grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,nn_mean_ret,nn_vol,nn_sharpe,nn_r_series,svm_mean_ret,svm_vol,svm_sharpe,svm_r_series
U,0.1,0.1,0.0,0.006,test,0.024152079946507768,0.03089910232652054,0.7816434176793712,"[0.01447601492037994, 0.03803478150035775, 0.04815089004030796, 0.022543782444960365, -0.0032921622165354865, 0.030708649353712095, 0.024621748818235336, 0.023106953650080995, -0.0018329502775798028, 0.016455986438994888, -0.035871708634240475, -0.026991244592669487, 0.09414825356425115, 0.09040095791843475, 0.036659721152158306, 0.023570511498653194, 0.04016100639695225, 0.005920498398912628, 0.020241021984484096, -0.0046316208378302266, 0.04755127375730257, 0.027213393543848177]",0.019707739873921323,0.027678957251956775,0.7120116445794238,"[0.014475997256824002, 0.03803478295236666, 0.04815089019490092, 0.0204933913946323, -0.0032921622158769604, 0.030708681268318157, 0.024621748762987544, 0.02310695363165332, -0.0015949773928613943, 0.01645598643575769, -0.03587170857342567, -0.026991244602163046, 0.09414825473909726, 0.0008033699991267898, 0.03656054260826593, 0.023083984463667998, 0.04016099465529527, -0.0012044864485613895, 0.020262663345819457, -0.004631620649053035, 0.04755127375389369, 0.028536961645603647]"
U,0.1,0.1,0.0,0.006,train,0.013041372075973041,0.018687139576887734,0.6978795241303136,"[-0.003249254838016708, 0.022277906574916986, 0.033507575777861905, 0.021648412353687002, 0.03170508537829491, -9.273429671074294e-05, 0.026499110758390353, 0.0009034904568096135, 0.04638121077011153, 0.03228735718992756, 0.03550860178325966, 0.02635960571788403, 0.03459645212315025, 0.005691868619220227, 0.032334187863282064, 0.01819767558771755, -0.0006916510070374411, 0.008873720404783108, 0.029004374443843458, 0.08101668585660303, 0.01928757461038155, 0.02478616689399244, -0.005510267798926126, 0.01897680537361556, -0.01461179872346995, 0.03569452942900329, 0.01633900827815453, -0.005366641985942762, -0.014002837352139093, -0.007415441689917632, -0.025771731996215425, 0.05124461704259375, 0.0026496223138617776, -0.0040763299607345345, -0.010669745708817756, -0.015952274050140443, 0.016106265446976763, 0.02191347563684554, 0.017887987226523145, -0.015261870421655593, -0.0029592941436196343, 0.014064958416501851, 0.011001936268358919, -0.018075632963752197, 0.00026750628141715535, 0.01985201012814502, 0.003136221951057761, 0.023274892826611406, -0.02657848163725899, 0.03606144255541134, 0.028404786679567532, -0.005796348347750041, 0.01677494777403977, 0.007153029754764926, 0.007666750638539641, 0.021646595553953762, 0.031685485319041154, 0.030078315629059098, -0.003724991104646774, 0.010635143009493388, 0.02314487168475909, 0.010971432329878739, 0.0031762006712154, -0.012277032245515717, -0.012738399966412744, 0.010992443248243944, -0.012143453714289367, 0.03949792562937106, 0.015533707450090459, 0.019328033367462357, -0.009629294329204941, -0.01638937874149125, 0.015746265551271364, 0.03467653719094459, 0.05231954736101605, -0.0041632043434292896, 0.0017360345968554427, -0.009733943841104544, 0.01691497102590439, 0.03533885837182126, -0.009451578811524631, 0.03656841502110659, 0.0030478750614731384, 0.013241109028819852, -0.0012141033009626433, 0.005012551186497402, 0.0055290600937199195, 0.03723662404656331, -9.950409015689248e-05, 0.01316061682408231, 0.04057964408417292, 0.02155615634384101, 0.055316236484001184, 0.026337259528099587, -0.0012004096206584556, 0.004794115072516353, 0.00038356680606202394, 0.009322718645084415, 0.012339370347143096, 0.012108473795996293, 0.01748407191895865, -0.00035914611664931485, 0.0035972944463622935, -0.007548496318276038, 0.013408944865883355, 0.005868455189201862, 0.050228197724675794, 0.008952034700425505, 0.02367292650127977, 0.008368013934876404, 0.003704739779604938, 0.0049975592078145455, 0.03374747532895719, 0.01907993983537908, 0.01588231165187395, 0.03524967613833982, -0.00013794970983785264, 0.023288706556282335, 0.011992134891473664]",0.011413994619153442,0.018463436274626634,0.6181944925507136,"[-0.0031766833754699932, 0.0158430245549837, 0.033507575729473965, 0.021298530585543197, 0.029405370548894767, 0.001504735633919565, 0.02627833503636458, 0.0009034904597045715, 0.04194726416289452, 0.02203505568376119, 0.0066024239328069875, 0.026359605709208905, 0.034596452134874174, 0.005691868589857629, 0.025697358293651967, 0.02142808262337418, -0.008153521872409178, 0.008873721635261246, 0.02900437443811488, 0.08101667884593172, 0.019287574138127716, 0.018164293049581493, -0.011918919991437156, 0.018976805367897684, -0.014246917393223115, 0.022146201714490478, 0.009298373652780412, -0.005366642169369085, -0.014002837317113503, -0.007415441676413455, -0.022246793714953705, 0.04764684278558502, 0.004012171777928451, -0.006418585709727415, -0.01066974537321179, -0.015018214562994358, 0.016106265443791536, 0.021913475605442285, 0.010107382238668786, -0.00843709291925489, -0.007642047607650103, 0.014064932166639217, 0.007998505738729494, -0.02003363148630263, -0.0019304629563573832, 0.018884670781403032, -0.02238152086349348, 0.014282069194277007, -0.026578121592468442, 0.036061442438731876, 0.028640556540381504, -0.012021325048941461, 0.01693425516419503, -0.0007768055930779708, 0.007666750605999799, 0.01572647156705668, 0.03168545751451248, 0.030078316270377853, -0.003784855846961364, 0.007508554179110013, 0.023144871545087486, 0.008256209950608518, 0.0031762005642547012, -0.012277031998556568, -0.012738399230527055, 0.008065499987171803, -0.012143453713561706, 0.03952745619383402, 0.015533707409768515, 0.019328033978984138, -0.011111739939697784, -0.016230303997717955, 0.014986703863243975, 0.034676537183695025, 0.05231954832784426, -0.007451138551806418, 0.0017360707950357821, -0.009733942724692992, 0.017244512971823032, 0.03533885662259011, -0.009080544255385544, 0.036568417283052344, 0.002602271116191757, 0.012483880814127586, -0.001214109753007257, 0.005012557119639274, 0.006404441587156942, 0.03723662069933033, -9.950451972067431e-05, 0.013160794492253951, 0.040579643394954464, 0.021556001353453775, 0.05150699597606226, 0.02573172119275396, -0.0031596758458748192, 0.0052052855895203375, 0.00038357309200583953, 0.009322718703474066, 0.01200695062834337, 0.012108471663864043, 0.01565617284118713, -0.0021751224844115493, 0.003597294439103907, -0.007548429671081908, 0.013408944960148514, 0.00967126251844406, 0.04905342643425961, 0.008635381926755184, 0.02367292649049494, 0.00836803285301241, 0.0037049025521089757, 0.00275032827567775, 0.032694270764160954, 0.017001316609441083, 0.015882304319946482, 0.03464148362940325, -0.00013794965500335218, 0.023288705162931394, 0.009170248679604623]"
U,0.1,0.1,0.0,0.006,val,0.0031646157651681957,0.011932049129848802,0.2652198067963433,"[-0.014770762883248436, 0.017302932246624828, 0.031529771513833654, -0.0018850482764331356, -0.009071126887620781, 0.0026308388200815018, 0.0054074197522619, 0.002181151328877457, -0.0003646065651944372, -0.0005398202838929044, -0.0012218579901954398, 0.006776498406924139]",0.002705703475381306,0.012055953332263458,0.22442882786515334,"[-0.014770762876068058, 0.01688382111127018, 0.0315297689688074, -0.00188517686591484, -0.010045332940055962, 0.002630838819543393, 0.0046185193461314375, 0.0014585159226524998, -0.0010869678510792072, -0.002419424359516013, -0.0012218576695523966, 0.00677650009835724]"
