grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
AG,1.0,0.1,0.001,0.006500000000000001,test,100.0,100.0,0.014978317043014005,0.02547804243109117,0.587891204080416,0.012096578624363731,0.025023236758615015,0.483413826139646
AG,1.0,0.1,0.001,0.006500000000000001,train,100.0,100.0,0.014208024395705385,0.025952288360925356,0.5474671134029938,0.012666446306193669,0.025942239728854885,0.48825569565671895
AG,1.0,0.1,0.001,0.006500000000000001,val,100.0,100.0,0.009717277440376178,0.028618941471757076,0.3395400717257919,0.00978585099819604,0.02835532032769281,0.3451151630367482
E,0.01,0.05,0.001,0.006500000000000001,test,100.0,100.0,0.0130291325544804,0.025014634628183985,0.5208603982278285,0.012096578624363731,0.025023236758615015,0.483413826139646
E,0.01,0.05,0.001,0.006500000000000001,train,100.0,100.0,0.013074391097949934,0.025919997463900914,0.5044132861376387,0.012666446306193669,0.025942239728854885,0.48825569565671895
E,0.01,0.05,0.001,0.006500000000000001,val,100.0,100.0,0.011529226161921551,0.02916026883992731,0.3953744811069758,0.00978585099819604,0.02835532032769281,0.3451151630367482
I,0.01,0.1,0.001,0.006500000000000001,test,100.0,100.0,0.01289722779000379,0.025024939659189865,0.5153749805247658,0.012096578624363731,0.025023236758615015,0.483413826139646
I,0.01,0.1,0.001,0.006500000000000001,train,100.0,100.0,0.012894010031759879,0.02593406093295969,0.4971843809804446,0.012666446306193669,0.025942239728854885,0.48825569565671895
I,0.01,0.1,0.001,0.006500000000000001,val,100.0,100.0,0.009984861666728831,0.028363011689226426,0.3520381324727057,0.00978585099819604,0.02835532032769281,0.3451151630367482
M,0.1,0.01,0.001,0.006500000000000001,test,100.0,100.0,0.02008019472891789,0.02851707627576078,0.7041463344291611,0.012096578624363731,0.025023236758615015,0.483413826139646
M,0.1,0.01,0.001,0.006500000000000001,train,100.0,100.0,0.016448896271631566,0.027006323353327692,0.6090757359237378,0.012666446306193669,0.025942239728854885,0.48825569565671895
M,0.1,0.01,0.001,0.006500000000000001,val,100.0,100.0,0.013457827429896749,0.03161311563202673,0.4257039257414142,0.00978585099819604,0.02835532032769281,0.3451151630367482
Q,0.1,0.05,0.001,0.006500000000000001,test,100.0,100.0,0.016217397430407954,0.0262246741967542,0.6184022462249221,0.012096578624363731,0.025023236758615015,0.483413826139646
Q,0.1,0.05,0.001,0.006500000000000001,train,100.0,100.0,0.014436495501157111,0.02562778544857559,0.5633142016723176,0.012666446306193669,0.025942239728854885,0.48825569565671895
Q,0.1,0.05,0.001,0.006500000000000001,val,100.0,100.0,0.011153039553110413,0.02891268017286805,0.3857490722423855,0.00978585099819604,0.02835532032769281,0.3451151630367482
U,0.1,0.1,0.001,0.006500000000000001,test,100.0,100.0,0.013886744192550992,0.025179843218043615,0.5515024089605289,0.012096578624363731,0.025023236758615015,0.483413826139646
U,0.1,0.1,0.001,0.006500000000000001,train,100.0,100.0,0.013235868740504414,0.025838530053344622,0.5122531627250548,0.012666446306193669,0.025942239728854885,0.48825569565671895
U,0.1,0.1,0.001,0.006500000000000001,val,100.0,100.0,0.00923845540987686,0.02880161074970253,0.32076176189734507,0.00978585099819604,0.02835532032769281,0.3451151630367482
Y,1.0,0.01,0.001,0.006500000000000001,test,100.0,100.0,0.01921458532100446,0.0309424620705729,0.6209779065595773,0.012096578624363731,0.025023236758615015,0.483413826139646
Y,1.0,0.01,0.001,0.006500000000000001,train,100.0,100.0,0.017341302458044747,0.028245124821909405,0.6139573666879089,0.012666446306193669,0.025942239728854885,0.48825569565671895
Y,1.0,0.01,0.001,0.006500000000000001,val,100.0,100.0,0.015597549014247225,0.032000551427858015,0.4874150074858209,0.00978585099819604,0.02835532032769281,0.3451151630367482
A,0.01,0.01,0.001,0.0075,test,100.0,100.0,0.014988030289799382,0.02562248269364599,0.5849562069537955,0.013152638448894806,0.025206655741028546,0.521792283097858
