grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
A,0.01,0.01,0.001,0.002,test,100.0,100.0,0.02112188434828347,0.0318439224893211,0.6632940509983789,0.016107134113255483,0.027605906598763153,0.5834669495474449
A,0.01,0.01,0.001,0.002,train,100.0,100.0,0.01025095023757396,0.01820016121998894,0.5632340347486744,0.008779911832727583,0.01806045328592283,0.4861401700855936
A,0.01,0.01,0.001,0.002,val,100.0,100.0,0.00018973135662123726,0.011740881947669165,0.016159889644639804,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
AC,1.0,0.05,0.001,0.002,test,100.0,100.0,0.02348176970821827,0.0304610350786332,0.770878916190166,0.016107134113255483,0.027605906598763153,0.5834669495474449
AC,1.0,0.05,0.001,0.002,train,100.0,100.0,0.015338243026533487,0.020743187694804984,0.7394351944101354,0.008779911832727583,0.01806045328592283,0.4861401700855936
AC,1.0,0.05,0.001,0.002,val,100.0,100.0,0.0037324273655426217,0.012871130810853315,0.2899844170727676,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
AG,1.0,0.1,0.001,0.002,test,100.0,100.0,0.021791733776598512,0.030153739596576988,0.7226876025138054,0.016107134113255483,0.027605906598763153,0.5834669495474449
AG,1.0,0.1,0.001,0.002,train,100.0,100.0,0.014228671324439128,0.01972318182807278,0.7214186558613724,0.008779911832727583,0.01806045328592283,0.4861401700855936
AG,1.0,0.1,0.001,0.002,val,100.0,100.0,0.0020565991213638865,0.01227349502552097,0.16756426078471698,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
E,0.01,0.05,0.001,0.002,test,100.0,100.0,0.02076739068417788,0.031045852581321767,0.6689264090625529,0.016107134113255483,0.027605906598763153,0.5834669495474449
E,0.01,0.05,0.001,0.002,train,100.0,100.0,0.010981129524306531,0.018231984936987355,0.6023002740325184,0.008779911832727583,0.01806045328592283,0.4861401700855936
E,0.01,0.05,0.001,0.002,val,100.0,100.0,0.00186330501986538,0.012394279871412917,0.15033588389533695,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
I,0.01,0.1,0.001,0.002,test,100.0,100.0,0.020896915368555445,0.03140344888000789,0.6654337696390231,0.016107134113255483,0.027605906598763153,0.5834669495474449
I,0.01,0.1,0.001,0.002,train,100.0,100.0,0.010620158398212603,0.0182618014171262,0.5815504262176077,0.008779911832727583,0.01806045328592283,0.4861401700855936
I,0.01,0.1,0.001,0.002,val,100.0,100.0,0.0008239171224839435,0.011829216339043765,0.06965103171668727,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
M,0.1,0.01,0.001,0.002,test,100.0,100.0,0.022743184970231978,0.029626301812030367,0.7676687125434256,0.016107134113255483,0.027605906598763153,0.5834669495474449
M,0.1,0.01,0.001,0.002,train,100.0,100.0,0.014983292735680848,0.020713826125518975,0.7233474223527645,0.008779911832727583,0.01806045328592283,0.4861401700855936
M,0.1,0.01,0.001,0.002,val,100.0,100.0,0.004397415436807152,0.013506517613492168,0.32557729255754503,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
Q,0.1,0.05,0.001,0.002,test,100.0,100.0,0.021563523836983792,0.031185207682005875,0.6914664175456064,0.016107134113255483,0.027605906598763153,0.5834669495474449
Q,0.1,0.05,0.001,0.002,train,100.0,100.0,0.012665097607240194,0.01890099932600398,0.6700755546372349,0.008779911832727583,0.01806045328592283,0.4861401700855936
