return_goal,grid_case,nn_mean_ret,nn_vol,svm_mean_ret,svm_vol
0.002,Q,0.0126650976072401,0.0189009993260039,0.0087799118327275,0.0180604532859228
0.0025,Q,0.0127485312673479,0.0188217109780425,0.0089921214274969,0.0180641712689307
0.003,Q,0.0130977933998484,0.0187100580699032,0.0092194620891565,0.0180768282328279
0.0035,A,0.0108516707299474,0.0182524597842939,0.0094482545682155,0.0181002627489794
0.004,A,0.0111519733755662,0.0182459484337309,0.0096753023889704,0.018145423907757
0.0045,Q,0.0134709133393837,0.0186293002473025,0.0100031039528882,0.0181334430857779
0.005,A,0.0118236657499049,0.0182412291191317,0.0104368044638934,0.0181199309079943
0.0055,A,0.0123025658556988,0.0183470643546698,0.0109160081864858,0.0182260359358838
0.006,U,0.0135440595455736,0.0188937113273158,0.0114139946191534,0.0184634362746266
0.0065,U,0.0138924983180598,0.0189919564395049,0.0118998984900021,0.0187816897499648
0.007,U,0.0142572973261661,0.0190311930600389,0.012384663272973,0.0191322301819905
0.0075,U,0.014619017015301,0.0189919960428835,0.0128825411141889,0.0195445365892615
