grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
A,0.01,0.01,0.0,0.005,test,100.0,100.0,0.011187906301884874,0.024644170437799352,0.45397780094357854,0.010675203546490578,0.024667623694404534,0.43276173166527265
A,0.01,0.01,0.0,0.005,train,100.0,100.0,0.012192407567138746,0.025792177540649528,0.47271726272240083,0.011546075499815324,0.025861193935489246,0.4464633585042728
A,0.01,0.01,0.0,0.005,val,100.0,100.0,0.01057041231709266,0.02888458702456246,0.36595338225670293,0.008838089477201784,0.028135322372881952,0.314127890903649
AC,1.0,0.05,0.0,0.005,test,100.0,100.0,0.01603336859685645,0.02626895731109875,0.6103542065398967,0.010675203546490578,0.024667623694404534,0.43276173166527265
AC,1.0,0.05,0.0,0.005,train,100.0,100.0,0.015620551805190248,0.02673184093289865,0.5843425390647834,0.011546075499815324,0.025861193935489246,0.4464633585042728
AC,1.0,0.05,0.0,0.005,val,100.0,100.0,0.011788385505900322,0.031625882079306514,0.37274487636317877,0.008838089477201784,0.028135322372881952,0.314127890903649
AG,1.0,0.1,0.0,0.005,test,100.0,100.0,0.01333119622036433,0.024959653451819403,0.5341098283100745,0.010675203546490578,0.024667623694404534,0.43276173166527265
AG,1.0,0.1,0.0,0.005,train,100.0,100.0,0.012922790052953756,0.025886753687294796,0.4992047364670932,0.011546075499815324,0.025861193935489246,0.4464633585042728
AG,1.0,0.1,0.0,0.005,val,100.0,100.0,0.008633336940436482,0.02830644654631513,0.30499543367287674,0.008838089477201784,0.028135322372881952,0.314127890903649
E,0.01,0.05,0.0,0.005,test,100.0,100.0,0.01094983833383368,0.024689473006630037,0.44350231090188685,0.010675203546490578,0.024667623694404534,0.43276173166527265
E,0.01,0.05,0.0,0.005,train,100.0,100.0,0.011702250160389926,0.02580853941354699,0.4534255105422181,0.011546075499815324,0.025861193935489246,0.4464633585042728
E,0.01,0.05,0.0,0.005,val,100.0,100.0,0.008838100369359976,0.02813532185139833,0.31412828386061603,0.008838089477201784,0.028135322372881952,0.314127890903649
I,0.01,0.1,0.0,0.005,test,100.0,100.0,0.010675200037366986,0.024667622740994904,0.4327616061353656,0.010675203546490578,0.024667623694404534,0.43276173166527265
I,0.01,0.1,0.0,0.005,train,100.0,100.0,0.011568883529167054,0.025862592046792962,0.4473211156789023,0.011546075499815324,0.025861193935489246,0.4464633585042728
I,0.01,0.1,0.0,0.005,val,100.0,100.0,0.008838094834425868,0.02813531725840473,0.3141281384154848,0.008838089477201784,0.028135322372881952,0.314127890903649
M,0.1,0.01,0.0,0.005,test,100.0,100.0,0.015030012622180398,0.02516375716394623,0.597288096672527,0.010675203546490578,0.024667623694404534,0.43276173166527265
M,0.1,0.01,0.0,0.005,train,100.0,100.0,0.013515502883924235,0.025423273188891087,0.5316193073556842,0.011546075499815324,0.025861193935489246,0.4464633585042728
M,0.1,0.01,0.0,0.005,val,100.0,100.0,0.012285285175766653,0.03094506915482685,0.3970029963062266,0.008838089477201784,0.028135322372881952,0.314127890903649
Q,0.1,0.05,0.0,0.005,test,100.0,100.0,0.012609722152429385,0.02495250442474272,0.5053489596587479,0.010675203546490578,0.024667623694404534,0.43276173166527265
Q,0.1,0.05,0.0,0.005,train,100.0,100.0,0.011976748459290266,0.02587269281461381,0.46291078182872664,0.011546075499815324,0.025861193935489246,0.4464633585042728
Q,0.1,0.05,0.0,0.005,val,100.0,100.0,0.01037165657710347,0.028729144202732537,0.3610151595032883,0.008838089477201784,0.028135322372881952,0.314127890903649
U,0.1,0.1,0.0,0.005,test,100.0,100.0,0.01167206995454872,0.024825732960044755,0.47016013476274493,0.010675203546490578,0.024667623694404534,0.43276173166527265
U,0.1,0.1,0.0,0.005,train,100.0,100.0,0.012109831189334194,0.02580714479129087,0.4692433543811345,0.011546075499815324,0.025861193935489246,0.4464633585042728
U,0.1,0.1,0.0,0.005,val,100.0,100.0,0.008506173272173055,0.028440269428980095,0.2990890537487784,0.008838089477201784,0.028135322372881952,0.314127890903649
Y,1.0,0.01,0.0,0.005,test,100.0,100.0,0.018400050521905655,0.030644704671188114,0.6004316477751797,0.010675203546490578,0.024667623694404534,0.43276173166527265
Y,1.0,0.01,0.0,0.005,train,100.0,100.0,0.01652018022422531,0.028386316969149925,0.5819768813825817,0.011546075499815324,0.025861193935489246,0.4464633585042728
Y,1.0,0.01,0.0,0.005,val,100.0,100.0,0.016086777995485007,0.03206183675395922,0.5017422463482776,0.008838089477201784,0.028135322372881952,0.314127890903649
A,0.01,0.01,0.0,0.006500000000000001,test,100.0,100.0,0.012523821266267672,0.024987498718307754,0.5012034780652358,0.012096578624363731,0.025023236758615015,0.483413826139646
A,0.01,0.01,0.0,0.006500000000000001,train,100.0,100.0,0.01329934910327986,0.025886167153489018,0.5137627762313808,0.012666446306193669,0.025942239728854885,0.48825569565671895
A,0.01,0.01,0.0,0.006500000000000001,val,100.0,100.0,0.01159470832279118,0.029190473564673775,0.39720864057600813,0.00978585099819604,0.02835532032769281,0.3451151630367482
AC,1.0,0.05,0.0,0.006500000000000001,test,100.0,100.0,0.017200701086796777,0.026480389492277837,0.6495637494744272,0.012096578624363731,0.025023236758615015,0.483413826139646
AC,1.0,0.05,0.0,0.006500000000000001,train,100.0,100.0,0.016493888197465015,0.026582237704366504,0.6204853173115361,0.012666446306193669,0.025942239728854885,0.48825569565671895
