grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
A,0.01,0.01,0.0,0.002,test,100.0,100.0,0.020883462235576803,0.031204397485258727,0.6692474111949482,0.016107134113255483,0.027605906598763153,0.5834669495474449
A,0.01,0.01,0.0,0.002,train,100.0,100.0,0.009997111662386293,0.017977767408930534,0.5560819335588969,0.008779911832727583,0.01806045328592283,0.4861401700855936
A,0.01,0.01,0.0,0.002,val,100.0,100.0,-0.00031357360752713406,0.01197515467133201,-0.02618534925913149,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
AA,1.0,0.01,0.1,0.002,test,100.0,100.0,0.028696815104436044,0.038817695717232155,0.7392714733182252,0.016107134113255483,0.027605906598763153,0.5834669495474449
AA,1.0,0.01,0.1,0.002,train,100.0,100.0,0.018256404583330613,0.022473117041835876,0.812366373055068,0.008779911832727583,0.01806045328592283,0.4861401700855936
AA,1.0,0.01,0.1,0.002,val,100.0,100.0,0.004555452182871449,0.014954418130488572,0.30462249636308625,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
AB,1.0,0.01,1.0,0.002,test,100.0,100.0,0.02811123075197384,0.0401716341172977,0.699778123767425,0.016107134113255483,0.027605906598763153,0.5834669495474449
AB,1.0,0.01,1.0,0.002,train,100.0,100.0,0.019083958698481285,0.02452806086870716,0.778045961311622,0.008779911832727583,0.01806045328592283,0.4861401700855936
AB,1.0,0.01,1.0,0.002,val,100.0,100.0,0.002789503431422619,0.012826160450577783,0.21748546199416008,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
AC,1.0,0.05,0.0,0.002,test,100.0,100.0,0.022824935950320632,0.03000645008984948,0.7606676524951926,0.016107134113255483,0.027605906598763153,0.5834669495474449
AC,1.0,0.05,0.0,0.002,train,100.0,100.0,0.015197389056452359,0.02064004336602302,0.7363060622601941,0.008779911832727583,0.01806045328592283,0.4861401700855936
AC,1.0,0.05,0.0,0.002,val,100.0,100.0,0.004071367250920939,0.013056255966763559,0.3118326770686263,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
