return_goal,grid_case,nn_mean_ret,nn_vol,svm_mean_ret,svm_vol
0.002,Q,0.0118680402054992,0.0183923338735662,0.0087799118327275,0.0180604532859228
0.0025,Q,0.0115402648174269,0.0181013205511089,0.0089921214274969,0.0180641712689307
0.003,Q,0.0113786631032153,0.0181715757223643,0.0092194620891565,0.0180768282328279
0.0035,Q,0.0119264876856873,0.0181006955659928,0.0094482545682155,0.0181002627489794
0.004,Q,0.0123680671500277,0.0182453271451366,0.0096753023889704,0.018145423907757
0.0045,Q,0.0127837380118773,0.0182680761163211,0.0100031039528882,0.0181334430857779
0.005,Q,0.0132514782329681,0.0183374830819442,0.0104368044638934,0.0181199309079943
0.0055,Q,0.0136230509284409,0.0183027001111401,0.0109160081864858,0.0182260359358838
0.006,U,0.013041372075973,0.0186871395768877,0.0114139946191534,0.0184634362746266
0.0065,U,0.013341907220034,0.0186778192268798,0.0118998984900021,0.0187816897499648
0.007,U,0.0137532872783275,0.018759152077003,0.012384663272973,0.0191322301819905
0.0075,U,0.0141118076773976,0.0187804262417845,0.0128825411141889,0.0195445365892615
