grid_case,C_svm_init,tau,lambda_hinge,goal_monthly,split,train_feas_pct,val_feas_pct,nn_mean_ret,nn_vol,nn_sharpe,svm_mean_ret,svm_vol,svm_sharpe
A,0.01,0.01,0.0,0.002,test,100.0,100.0,0.020606667082951117,0.030536828846296046,0.6748135893873533,0.016107134113255483,0.027605906598763153,0.5834669495474449
A,0.01,0.01,0.0,0.002,train,100.0,100.0,0.009995685413346845,0.017897865587120605,0.5584847737364452,0.008779911832727583,0.01806045328592283,0.4861401700855936
A,0.01,0.01,0.0,0.002,val,100.0,100.0,-0.0003638771108714283,0.012028961657844842,-0.030250084852824436,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
AC,1.0,0.05,0.0,0.002,test,100.0,100.0,0.022780203115482664,0.02978607377659072,0.7647937517908501,0.016107134113255483,0.027605906598763153,0.5834669495474449
AC,1.0,0.05,0.0,0.002,train,100.0,100.0,0.015221650447502025,0.02071906505141738,0.7346687897833524,0.008779911832727583,0.01806045328592283,0.4861401700855936
AC,1.0,0.05,0.0,0.002,val,100.0,100.0,0.004015879450077871,0.01298272578649988,0.3093248302251341,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
AG,1.0,0.1,0.0,0.002,test,100.0,100.0,0.021846540612255567,0.029936297602323286,0.7297676186192892,0.016107134113255483,0.027605906598763153,0.5834669495474449
AG,1.0,0.1,0.0,0.002,train,100.0,100.0,0.013934167412978603,0.019757364739090098,0.705264472073266,0.008779911832727583,0.01806045328592283,0.4861401700855936
AG,1.0,0.1,0.0,0.002,val,100.0,100.0,0.0015147513673703268,0.012277467777042562,0.12337652965209643,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
E,0.01,0.05,0.0,0.002,test,100.0,100.0,0.016128152867302317,0.02760720706281282,0.5842008150271346,0.016107134113255483,0.027605906598763153,0.5834669495474449
E,0.01,0.05,0.0,0.002,train,100.0,100.0,0.00906583865226459,0.017946493046482857,0.5051593438494184,0.008779911832727583,0.01806045328592283,0.4861401700855936
E,0.01,0.05,0.0,0.002,val,100.0,100.0,-0.0005356029127702864,0.012030419755437609,-0.04452071695035241,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
I,0.01,0.1,0.0,0.002,test,100.0,100.0,0.016107133214209833,0.027605906186770807,0.5834669256879951,0.016107134113255483,0.027605906598763153,0.5834669495474449
I,0.01,0.1,0.0,0.002,train,100.0,100.0,0.008970928273828054,0.017953558995914644,0.49967409110192174,0.008779911832727583,0.01806045328592283,0.4861401700855936
I,0.01,0.1,0.0,0.002,val,100.0,100.0,-0.0006288084240648688,0.012047624207648475,-0.05219356224719179,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
M,0.1,0.01,0.0,0.002,test,100.0,100.0,0.022547247841395602,0.02960101001756753,0.7617053548933842,0.016107134113255483,0.027605906598763153,0.5834669495474449
M,0.1,0.01,0.0,0.002,train,100.0,100.0,0.014978548010475566,0.02018291391093827,0.7421400138666647,0.008779911832727583,0.01806045328592283,0.4861401700855936
M,0.1,0.01,0.0,0.002,val,100.0,100.0,0.004438495560377726,0.01433213032784843,0.30968847327907,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
Q,0.1,0.05,0.0,0.002,test,100.0,100.0,0.021393071659856676,0.03190858725603506,0.6704487255273274,0.016107134113255483,0.027605906598763153,0.5834669495474449
Q,0.1,0.05,0.0,0.002,train,100.0,100.0,0.011702028113072055,0.018266210111797434,0.640637988986754,0.008779911832727583,0.01806045328592283,0.4861401700855936
Q,0.1,0.05,0.0,0.002,val,100.0,100.0,0.0008263673731622358,0.011522338758018334,0.07171871878141513,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
U,0.1,0.1,0.0,0.002,test,100.0,100.0,0.020795405154782485,0.031538395538865005,0.6593678847263102,0.016107134113255483,0.027605906598763153,0.5834669495474449
U,0.1,0.1,0.0,0.002,train,100.0,100.0,0.010693886561174714,0.018422076530550283,0.580493004839058,0.008779911832727583,0.01806045328592283,0.4861401700855936
U,0.1,0.1,0.0,0.002,val,100.0,100.0,2.300388522068975e-06,0.0119271977728841,0.00019286915214116148,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
Y,1.0,0.01,0.0,0.002,test,100.0,100.0,0.02606814058204859,0.032363788863554496,0.8054724584672769,0.016107134113255483,0.027605906598763153,0.5834669495474449
Y,1.0,0.01,0.0,0.002,train,100.0,100.0,0.01753910659595223,0.021789717097471864,0.8049258517992539,0.008779911832727583,0.01806045328592283,0.4861401700855936
Y,1.0,0.01,0.0,0.002,val,100.0,100.0,0.005328468759311218,0.014730955121527282,0.3617191631493513,-0.0006287809271043341,0.012047589223172126,-0.05219143144777515
A,0.01,0.01,0.0,0.0025,test,100.0,100.0,0.02138306543512181,0.031151618989468374,0.6864190731680591,0.016543144562799414,0.027605099399159096,0.599278572519977
A,0.01,0.01,0.0,0.0025,train,100.0,100.0,0.010472925524102547,0.01797744675775714,0.5825591178013639,0.00899212142749692,0.01806417126893075,0.49778765342338305
A,0.01,0.01,0.0,0.0025,val,100.0,100.0,-9.274330686188379e-05,0.012071864302100038,-0.007682600179498989,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
AC,1.0,0.05,0.0,0.0025,test,100.0,100.0,0.02319531748299468,0.029738234201323845,0.7799830119429929,0.016543144562799414,0.027605099399159096,0.599278572519977
AC,1.0,0.05,0.0,0.0025,train,100.0,100.0,0.01537909155015322,0.020744770443230583,0.7413478780831902,0.00899212142749692,0.01806417126893075,0.49778765342338305
AC,1.0,0.05,0.0,0.0025,val,100.0,100.0,0.004308259960686252,0.013214640432825818,0.3260217319011042,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
AG,1.0,0.1,0.0,0.0025,test,100.0,100.0,0.02239429976045189,0.029833865937195607,0.7506335185270436,0.016543144562799414,0.027605099399159096,0.599278572519977
AG,1.0,0.1,0.0,0.0025,train,100.0,100.0,0.014093300957329354,0.01986519893342476,0.7094467568057836,0.00899212142749692,0.01806417126893075,0.49778765342338305
AG,1.0,0.1,0.0,0.0025,val,100.0,100.0,0.002074458510535187,0.012200230293046494,0.17003437316650388,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
E,0.01,0.05,0.0,0.0025,test,100.0,100.0,0.0165648951192125,0.027606948432533914,0.6000262998677272,0.016543144562799414,0.027605099399159096,0.599278572519977
E,0.01,0.05,0.0,0.0025,train,100.0,100.0,0.009272257793505283,0.017952116090819637,0.5164994336088566,0.00899212142749692,0.01806417126893075,0.49778765342338305
E,0.01,0.05,0.0,0.0025,val,100.0,100.0,-0.00023904481404497303,0.012015054275448106,-0.01989544188023756,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
I,0.01,0.1,0.0,0.0025,test,100.0,100.0,0.01654313628092206,0.02760509135864775,0.5992784470586573,0.016543144562799414,0.027605099399159096,0.599278572519977
I,0.01,0.1,0.0,0.0025,train,100.0,100.0,0.009223676880264986,0.01796041000146714,0.5135560312374814,0.00899212142749692,0.01806417126893075,0.49778765342338305
I,0.01,0.1,0.0,0.0025,val,100.0,100.0,-0.0003314259039437502,0.012034658623187956,-0.027539285848759445,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
M,0.1,0.01,0.0,0.0025,test,100.0,100.0,0.024204350117182152,0.03257503961631491,0.743033635615798,0.016543144562799414,0.027605099399159096,0.599278572519977
M,0.1,0.01,0.0,0.0025,train,100.0,100.0,0.015323592445907362,0.02040001057509918,0.7511561030198979,0.00899212142749692,0.01806417126893075,0.49778765342338305
M,0.1,0.01,0.0,0.0025,val,100.0,100.0,0.004453049139573058,0.013293072299257112,0.3349902143755682,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
Q,0.1,0.05,0.0,0.0025,test,100.0,100.0,0.02159971059867464,0.031916889642295054,0.6767486067744763,0.016543144562799414,0.027605099399159096,0.599278572519977
Q,0.1,0.05,0.0,0.0025,train,100.0,100.0,0.011179986839299516,0.018164351285614583,0.6154905651675056,0.00899212142749692,0.01806417126893075,0.49778765342338305
Q,0.1,0.05,0.0,0.0025,val,100.0,100.0,0.0008923695195506637,0.011558657804775527,0.07720355897245894,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
U,0.1,0.1,0.0,0.0025,test,100.0,100.0,0.021301836261879942,0.031572952958506414,0.6746862192206224,0.016543144562799414,0.027605099399159096,0.599278572519977
U,0.1,0.1,0.0,0.0025,train,100.0,100.0,0.01084018333776754,0.018424679035228875,0.5883512714903872,0.00899212142749692,0.01806417126893075,0.49778765342338305
U,0.1,0.1,0.0,0.0025,val,100.0,100.0,0.0003594261751773452,0.011869669865409167,0.030281059138343114,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
Y,1.0,0.01,0.0,0.0025,test,100.0,100.0,0.0285207394475665,0.03707695689902427,0.7692308601396527,0.016543144562799414,0.027605099399159096,0.599278572519977
Y,1.0,0.01,0.0,0.0025,train,100.0,100.0,0.017746642766569527,0.02186503082895035,0.811644991703395,0.00899212142749692,0.01806417126893075,0.49778765342338305
Y,1.0,0.01,0.0,0.0025,val,100.0,100.0,0.005721721268255757,0.014851326019187221,0.3852666933900914,-0.00033138998011073055,0.012034614731911487,-0.02753640124469183
A,0.01,0.01,0.0,0.003,test,100.0,100.0,0.022163014077971492,0.0313741934224583,0.7064090470418385,0.01697090256359251,0.02759811104223574,0.6149298601272225
A,0.01,0.01,0.0,0.003,train,100.0,100.0,0.010657162708916165,0.01813273993514965,0.5877304117548124,0.00921946208915653,0.018076828232827954,0.510015472288648
A,0.01,0.01,0.0,0.003,val,100.0,100.0,0.00035043825536134075,0.012038478351245958,0.02910984636990781,-2.087382206117603e-06,0.011999107882662084,-0.00017396144999744277
AC,1.0,0.05,0.0,0.003,test,100.0,100.0,0.02397577088177544,0.02973217806638794,0.8063913389538564,0.01697090256359251,0.02759811104223574,0.6149298601272225
